posting_year,country,region,industry,seniority_level,risk_category,avg_salary_usd,median_salary_usd,avg_ai_intensity,avg_automation_risk,avg_displacement_risk,job_count,pct_ai_mentioned,unique_job_titles
2010,Argentina,South America,Agriculture,Lead,LOW,,,0.01,,33399.0,1,0.0,1
2010,Argentina,South America,Agriculture,Senior,LOW,,,0.07,,33028.0,1,0.0,1
2010,Argentina,South America,Education,Mid,LOW,,,0.18,,4.93,1,0.0,1
2010,Argentina,South America,Government,Executive,LOW,,,0.11,,34876.0,1,0.0,1
2010,Argentina,South America,Government,Junior,LOW,,,0.095,,31890.0,2,0.0,2
2010,Argentina,South America,Government,Lead,LOW,,,0.1,,,1,0.0,1
2010,Argentina,South America,Healthcare,Intern,LOW,,,0.2,,-0.14,1,0.0,1
2010,Argentina,South America,Healthcare,Senior,LOW,,,,,,1,100.0,1
2010,Argentina,South America,Tech,Lead,LOW,,,0.19,,-0.34,1,0.0,1
2010,Argentina,South America,Tech,Mid,HIGH,,,0.11,34933.0,0.81,1,0.0,1
2010,Argentina,South America,Tech,Mid,LOW,,,0.09,,-3.5,1,0.0,1
2010,Australia,Oceania,Education,Junior,LOW,,,0.13,,2.96,1,0.0,1
2010,Australia,Oceania,Education,Senior,LOW,,,0.56,,-1.26,1,100.0,1
2010,Australia,Oceania,Energy,Junior,HIGH,,,0.14,68215.0,0.77,1,0.0,1
2010,Australia,Oceania,Energy,Lead,HIGH,,,0.1,73048.0,0.89,1,0.0,1
2010,Australia,Oceania,Finance,Executive,LOW,,,0.05,,,1,0.0,1
2010,Australia,Oceania,Government,Executive,LOW,,,0.12,,,1,0.0,1
2010,Australia,Oceania,Government,Intern,LOW,,,0.09,,68201.0,1,0.0,1
2010,Australia,Oceania,Government,Junior,LOW,,,0.08,,4.66,1,0.0,1
2010,Australia,Oceania,Healthcare,Junior,LOW,,,0.05,,0.9,1,0.0,1
2010,Australia,Oceania,Healthcare,Lead,LOW,,,0.01,,,1,0.0,1
2010,Australia,Oceania,Manufacturing,Junior,LOW,,,0.19,,69624.0,1,0.0,1
2010,Australia,Oceania,Manufacturing,Lead,HIGH,,,0.13,65925.0,0.86,1,0.0,1
2010,Australia,Oceania,Retail,Executive,LOW,,,0.09,,3.46,1,0.0,1
2010,Bangladesh,South Asia,Education,Lead,LOW,,,0.02,,22997.0,1,0.0,1
2010,Bangladesh,South Asia,Manufacturing,Executive,LOW,,,0.13,,-0.83,1,0.0,1
2010,Bangladesh,South Asia,Manufacturing,Junior,LOW,,,,,,1,100.0,1
2010,Bangladesh,South Asia,Manufacturing,Senior,LOW,,,0.17,,21195.0,1,0.0,1
2010,Bangladesh,South Asia,Retail,Intern,LOW,,,0.08,,,1,0.0,1
2010,Brazil,South America,Agriculture,Mid,LOW,,,0.18,,39924.0,1,0.0,1
2010,Brazil,South America,Education,Intern,LOW,,,0.165,,39367.0,2,0.0,2
2010,Brazil,South America,Education,Lead,HIGH,,,0.07,39628.0,0.78,1,0.0,1
2010,Brazil,South America,Finance,Executive,LOW,,,0.09,,,1,0.0,1
2010,Brazil,South America,Government,Executive,LOW,0.57,0.57,,,,1,100.0,1
2010,Brazil,South America,Government,Senior,HIGH,,,0.07,31523.0,0.61,1,0.0,1
2010,Brazil,South America,Retail,Senior,LOW,,,0.0,,3.98,1,0.0,1
2010,Brazil,South America,Tech,Executive,LOW,,,0.07,,,1,0.0,1
2010,Brazil,South America,Tech,Senior,LOW,,,0.09,,32232.0,1,0.0,1
2010,Canada,North America,Education,Lead,HIGH,,,0.03,66975.0,0.75,1,0.0,1
2010,Canada,North America,Education,Lead,LOW,,,0.04,,79382.0,1,0.0,1
2010,Canada,North America,Education,Mid,HIGH,,,0.07,75548.0,0.6,1,0.0,1
2010,Canada,North America,Finance,Executive,HIGH,,,0.06,76257.0,0.82,1,0.0,1
2010,Canada,North America,Finance,Executive,LOW,,,0.18,,2.27,1,0.0,1
2010,Canada,North America,Finance,Intern,LOW,,,0.16,,,1,0.0,1
2010,Canada,North America,Government,Lead,LOW,,,0.07,,,1,0.0,1
2010,Canada,North America,Government,Mid,LOW,,,0.17,,78495.0,1,0.0,1
2010,Canada,North America,Healthcare,Executive,HIGH,,,0.08,67030.0,0.74,1,0.0,1
2010,Canada,North America,Manufacturing,Lead,LOW,,,0.14,,69725.0,1,0.0,1
2010,Canada,North America,Manufacturing,Mid,LOW,,,0.11,,,1,0.0,1
2010,Canada,North America,Retail,Lead,LOW,,,0.04,,,1,0.0,1
2010,Canada,North America,Tech,Intern,LOW,,,0.69,,,1,100.0,1
2010,Chile,South America,Agriculture,Intern,LOW,,,0.1,,-3.78,1,0.0,1
2010,Chile,South America,Agriculture,Mid,LOW,,,0.14,,39674.0,1,0.0,1
2010,Chile,South America,Energy,Senior,LOW,,,0.09,,-0.69,1,0.0,1
2010,Chile,South America,Government,Mid,LOW,,,0.04,,30828.0,1,0.0,1
2010,Chile,South America,Healthcare,Mid,LOW,,,0.17,,33313.0,1,0.0,1
2010,Chile,South America,Retail,Executive,HIGH,,,0.1,33051.0,0.71,1,0.0,1
2010,Chile,South America,Tech,Junior,HIGH,,,0.18,32630.0,0.73,1,0.0,1
2010,China,East Asia,Agriculture,Junior,LOW,,,0.07,,-2.91,1,0.0,1
2010,China,East Asia,Agriculture,Mid,LOW,,,0.045,,2.61,2,0.0,2
2010,China,East Asia,Energy,Junior,LOW,0.74,0.74,,,,1,100.0,1
2010,China,East Asia,Energy,Mid,LOW,,,0.12,,,1,0.0,1
2010,China,East Asia,Finance,Junior,HIGH,,,0.02,53943.0,0.76,1,0.0,1
2010,China,East Asia,Government,Junior,LOW,,,0.07,,,1,0.0,1
2010,China,East Asia,Manufacturing,Intern,LOW,,,0.06,,-2.19,1,0.0,1
2010,China,East Asia,Retail,Junior,HIGH,,,0.13,56203.0,0.66,1,0.0,1
2010,China,East Asia,Tech,Junior,LOW,,,0.03,,3.0,1,0.0,1
2010,China,East Asia,Tech,Mid,LOW,,,0.15,,-2.18,1,0.0,1
2010,China,East Asia,Tech,Senior,HIGH,,,0.16,48582.0,0.62,1,0.0,1
2010,Colombia,South America,Agriculture,Junior,HIGH,,,0.17,39913.0,0.87,1,0.0,1
2010,Colombia,South America,Agriculture,Lead,HIGH,,,0.19,39822.0,0.63,1,0.0,1
2010,Colombia,South America,Finance,Lead,HIGH,,,0.06,37367.0,0.78,1,0.0,1
2010,Colombia,South America,Government,Executive,HIGH,,,0.16,34782.0,0.79,1,0.0,1
2010,Colombia,South America,Tech,Intern,LOW,,,0.1,,,1,0.0,1
